Rank,Player,Nation,Primary_Positions,Secondary_Position,Competion,Age,Born,MP,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
2017,Kaoru Mitoma,es ESP,Defender,, La Liga,22,2001,23,16,1526,17,1,1,2,1,0,0,8,0,1.1,1.1,0.2,1.3,9,53,1,0.06,0.06,0.12,0.06,0.12,0.06,0.01,0.08,0.06,0.08
2415,Piero Hincapié,si SVN,Forward,,Bundliga,20,2003,31,17,1526,17,14,2,16,14,0,0,0,0,7.7,7.7,1.1,8.8,21,22,98,0.83,0.12,0.94,0.83,0.94,0.45,0.07,0.52,0.45,0.52
1474,Alberto Moreno,de GER,Forward,Midfielder,Bundliga,22,2001,34,17,1523,16.9,4,4,8,4,0,0,3,0,6.1,6.1,3.2,9.3,65,35,172,0.24,0.24,0.47,0.24,0.47,0.36,0.19,0.55,0.36,0.55
1565,Shamar Nicholson,es ESP,Forward,Midfielder,La Liga,23,2000,5,1,121,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,2,2,10,0,0,0,0,0,0.21,0.34,0.55,0.21,0.55
1566,Marvin Mehlem,km COM,Forward,,Ligue 1,20,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
6,Vito Mannone,gh GHA,MiDefenderielder,, Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
1568,Marcus Coco,ci CIV,Midfielder,Forward,Ligue 1,27,1996,7,1,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07
2528,Grigoris Kastanos,es ESP,MiDefenderielder,Forward, La Liga,29,1993,29,15,1517,16.9,1,4,5,1,0,0,5,1,1.4,1.4,3.9,5.3,41,110,109,0.06,0.24,0.3,0.06,0.3,0.08,0.23,0.32,0.08,0.32
1443,Braydon Manu,fr FRA,Defender,Midfielder, Ligue 1,20,2002,26,15,1516,16.8,0,2,2,0,0,0,2,0,1.2,1.2,1.6,2.8,56,58,117,0,0.12,0.12,0,0.12,0.07,0.1,0.17,0.07,0.17
1889,Benson Manuel,pt POR,Forward,Midfielder, Premier League,23,2000,20,18,1516,16.8,2,9,11,2,0,0,4,0,3.5,3.5,4.4,7.9,98,54,149,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47
2288,Faitout Maouassa,br BRA,Defender,, Serie A,24,1999,26,16,1516,16.8,0,0,0,0,0,0,7,1,0.5,0.5,0.6,1.1,8,33,6,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07
2494,Marcão,nl NED,MiDefenderielder,, Ligue 1,27,1996,22,16,1516,16.8,0,1,1,0,0,0,5,0,0.4,0.4,0.6,1,16,157,22,0,0.06,0.06,0,0.06,0.02,0.03,0.06,0.02,0.06
2525,Gabriel Jesus,de GER,Defender,,Bundliga,27,1995,23,14,1514,16.8,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,19,83,9,0.06,0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
1575,Yunus Musah,hr CRO,Midfielder,,Ligue 1,25,1998,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,0,1,0,0,0,0,0,0.14,1.39,1.52,0.14,1.52
1928,Rémy Cabella,de GER,Defender,Midfielder,Bundliga,24,1999,21,17,1513,16.8,1,1,2,1,0,0,2,0,0.9,0.9,2,3,35,70,91,0.06,0.06,0.12,0.06,0.12,0.05,0.12,0.18,0.05,0.18
2127,Merlin Röhl,de GER,MiDefenderielder,Forward,Bundliga,23,1999,31,18,1513,16.8,3,3,6,3,0,0,5,0,2.3,2.3,2.1,4.4,28,41,72,0.18,0.18,0.36,0.18,0.36,0.14,0.13,0.26,0.14,0.26
52,Alberto Marí,ma MAR,MiDefenderielder,Forward, La Liga,19,2004,31,17,1511,16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34
671,José Mari,fr FRA,MiDefenderielder,Forward, Ligue 1,26,1997,26,17,1506,16.7,3,8,11,3,0,0,0,0,4.4,4.4,6.7,11.1,160,133,247,0.18,0.48,0.66,0.18,0.66,0.26,0.4,0.67,0.26,0.67
2204,Pedri,us USA,Defender,, Premier League,35,1987,18,17,1503,16.7,1,0,1,1,0,0,4,1,1,1,0,1,11,65,3,0.06,0,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06
1675,Warren Bondo,gr GRE,Defender,, Premier League,25,1997,19,16,1500,16.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,10,38,2,0.06,0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08
1582,Mariano,it ITA,Midfielder,Forward,Serie A,21,2001,11,2,333,3.7,4,1,5,4,0,0,0,0,1.3,1.3,1.2,2.4,15,10,22,1.08,0.27,1.35,1.08,1.35,0.34,0.31,0.65,0.34,0.65
1583,Mirko Marić,it ITA,Forward,Midfielder,Serie A,21,2001,7,3,263,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,7,10,10,0,0,0,0,0,0.1,0.01,0.12,0.1,0.12
647,Ilario Monterisi,co COL,Defender,, Serie A,22,2001,22,17,1497,16.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,26,70,48,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
747,Ismail Jakobs,ar ARG,MiDefenderielder,Forward, Premier League,25,1998,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14
585,Diego Mariño,pt POR,MiDefenderielder,, Ligue 1,22,2001,25,17,1494,16.6,4,2,6,4,0,0,3,0,3,3,3.5,6.5,53,73,101,0.24,0.12,0.36,0.24,0.36,0.18,0.21,0.39,0.18,0.39
1979,Lee Kang-in,at AUT,Forward,Midfielder,Bundliga,31,1992,24,17,1493,16.6,1,3,4,1,0,0,1,0,2.3,2.3,1.3,3.7,26,27,111,0.06,0.18,0.24,0.06,0.24,0.14,0.08,0.22,0.14,0.22
1588,Geoffrey Kondogbia,fr FRA,Forward,,Ligue 1,17,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,Julian Araujo,br BRA,Forward,, Premier League,26,1997,28,18,1491,16.6,11,4,15,11,0,0,3,0,9.6,9.6,2.1,11.7,26,38,106,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.7,0.58,0.7
1590,Moussa Niakhate,de GER,Forward,Defender,de Bundesliga,22,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,Unai Marrero,pt POR,Defender,Midfielder,La Liga,29,1994,4,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0.3,0.3,5,4,6,0,0,0,0,0,0,0.11,0.11,0,0.11
1592,Djibril Sow,fr FRA,Midfielder,Forward,Ligue 1,23,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,2,0,0,0,0,0,0,0.55,1.62,2.17,0.55,2.17
422,Harry Toffolo,sct SCO,MiDefenderielder,, Premier League,32,1991,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2
1594,Étienne Capoue,it ITA,Midfielder,Forward,Serie A,34,1988,6,3,156,1.7,0,0,0,0,0,1,0,0,1.2,0.5,0.2,0.7,4,8,11,0,0,0,0,0,0.71,0.13,0.85,0.29,0.42
456,Anthony Martial,it ITA,Defender,, Serie A,22,2001,21,16,1487,16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13,46,22,0.06,0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1
1776,Issiaga Sylla,jp JPN,Forward,, Premier League,26,1997,19,15,1486,16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,121,64,239,0.18,0.24,0.42,0.18,0.42,0.21,0.16,0.37,0.21,0.37
1144,Pablo Maffeo,ec ECU,Defender,,Bundliga,21,2002,26,16,1484,16.5,1,2,3,1,0,0,2,0,1.9,1.9,0.5,2.5,34,102,50,0.06,0.12,0.18,0.06,0.18,0.12,0.03,0.15,0.12,0.15
1803,Jon Martin,es ESP,Defender,, La Liga,31,1992,27,17,1484,16.5,2,2,4,2,0,0,5,2,0.7,0.7,1.6,2.4,26,55,79,0.12,0.12,0.24,0.12,0.24,0.04,0.1,0.14,0.04,0.14
1902,Fabiano Parisi,jm JAM,Forward,, Ligue 1,26,1997,26,17,1484,16.5,4,3,7,3,1,2,2,0,5.9,4.4,1.1,5.4,18,33,110,0.24,0.18,0.42,0.18,0.36,0.36,0.07,0.43,0.26,0.33
1711,Mario Martín,de GER,MiDefenderielder,,Bundliga,25,1997,20,19,1482,16.5,3,2,5,3,0,0,3,0,3.8,3.8,1.1,4.9,27,46,73,0.18,0.12,0.3,0.18,0.3,0.23,0.07,0.3,0.23,0.3
1601,Tommaso Martinelli,be BEL,Midfielder,,Ligue 1,25,1998,8,4,398,4.4,2,0,2,2,0,0,0,0,1,1,0.7,1.6,9,26,21,0.45,0,0.45,0.45,0.45,0.22,0.15,0.37,0.22,0.37
1602,Gianluca Scamacca,it ITA,GK,,Ligue 1,35,1988,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Dan-Axel Zagadou,fr FRA,Defender,Forward, Ligue 1,27,1996,28,18,1481,16.5,1,0,1,1,0,0,2,0,0.8,0.8,1,1.8,28,55,65,0.06,0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11
1309,Antonio Sánchez,cy CYP,MiDefenderielder,Defender, Serie A,25,1998,26,18,1480,16.4,3,3,6,3,0,0,5,0,2.9,2.9,2.8,5.7,28,78,69,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35
1605,Junior Mwanga,gh GHA,Midfielder,,de Bundesliga,26,1997,4,3,171,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5,1,9,0,0,0,0,0,0.19,0.04,0.23,0.19,0.23
1606,Ivan Toney,ao ANG,Midfielder,Forward,Premier League,26,1997,8,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,2,14,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
1607,Dani Olmo,fr FRA,Defender,Midfielder,La Liga,25,1998,6,2,229,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,8,6,15,0,0.39,0.39,0,0.39,0.06,0.18,0.24,0.06,0.24
1608,Marc Martínez,fr FRA,Midfielder,Defender,Ligue 1,25,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,0,2,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21
1609,Beñat Prados,br BRA,Defender,,La Liga,27,1996,7,3,355,3.9,0,0,0,0,0,0,2,0,0,0,0.2,0.2,3,12,0,0,0,0,0,0,0,0.05,0.05,0,0.05
1232,Jeanuël Belocian,br BRA,Forward,, Premier League,26,1997,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38,42,155,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62
1847,Ismaila Sarr,us USA,MiDefenderielder,Forward, Serie A,20,2002,30,13,1478,16.4,0,2,2,0,0,0,5,0,0.6,0.6,1.2,1.8,48,64,77,0,0.12,0.12,0,0.12,0.04,0.08,0.11,0.04,0.11
